0,1,2,3,4
2024_8_5]13]3]45,138930,138930,"['338', '1565', '343', '2049', '427', '4339', '10685', '3236', '1858', '788', '4642', '1599', '763', '1', '1210', '432', '52', '1894', '1544', '209']","['-8740', '-8750', '-8760', '-8770', '-8780', '-8790', '-8800', '-8810', '-8820', '-8830', '-8840', '-8850', '-8860', '-8870', '-8880', '-8890', '-8900', '-8910', '-8920', '-8930']"
2024_8_5]13]3]45,028670,028670,"['11043', '579', '3241', '7079', '17282', '13075', '88267', '22840', '15768', '1001', '172', '732', '4688', '1352', '3450', '3214', '12163', '2849', '120', '345']","['-3470', '-3475', '-3480', '-3485', '-3490', '-3495', '-3500', '-3505', '-3510', '-3515', '-3520', '-3525', '-3530', '-3535', '-3540', '-3545', '-3550', '-3555', '-3560', '-3565']"
2024_8_5]13]3]46,018880,018880,"['6669', '14112', '388', '8259', '1205', '1049', '2224', '5630', '1925', '782', '1491', '528', '1002', '2531', '266', '110', '243', '900', '3167', '403']","['-3895', '-3900', '-3905', '-3910', '-3915', '-3920', '-3925', '-3930', '-3935', '-3940', '-3945', '-3950', '-3955', '-3960', '-3965', '-3970', '-3975', '-3980', '-3985', '-3990']"
2024_8_5]13]3]46,028670,028670,"['11043', '579', '3241', '7079', '17282', '13075', '88267', '22840', '15968', '1001', '172', '732', '4688', '1352', '3450', '3214', '12163', '2849', '120', '345']","['-3470', '-3475', '-3480', '-3485', '-3490', '-3495', '-3500', '-3505', '-3510', '-3515', '-3520', '-3525', '-3530', '-3535', '-3540', '-3545', '-3550', '-3555', '-3560', '-3565']"
2024_8_5]13]3]46,042670,042670,"['62', '1342', '2941', '10463', '4579', '1705', '2695', '1014', '4818', '2641', '8001', '542', '1665', '550', '867', '1570', '2067', '1575', '209', '659']","['-6870', '-6880', '-6890', '-6900', '-6910', '-6920', '-6930', '-6940', '-6950', '-6960', '-6970', '-6990', '-7000', '-7010', '-7020', '-7030', '-7040', '-7050', '-7060', '-7070']"
2024_8_5]13]3]46,028670,028670,"['11043', '579', '3241', '7079', '17282', '13075', '88267', '22840', '15968', '1011', '172', '732', '4688', '1352', '3450', '3214', '12163', '2849', '120', '345']","['-3470', '-3475', '-3480', '-3485', '-3490', '-3495', '-3500', '-3505', '-3510', '-3515', '-3520', '-3525', '-3530', '-3535', '-3540', '-3545', '-3550', '-3555', '-3560', '-3565']"
2024_8_5]13]3]46,047040,047040,"['5604', '1193', '2974', '1544', '4680', '9330', '7856', '10184', '5626', '444', '11161', '1911', '1496', '3149', '69483', '205', '5673', '2', '4597', '4214']","['-3655', '-3660', '-3665', '-3670', '-3675', '-3680', '-3685', '-3690', '-3695', '-3700', '-3710', '-3715', '-3720', '-3725', '-3730', '-3735', '-3740', '-3745', '-3750', '-3755']"
2024_8_5]13]3]46,073240,073240,"['13210', '7684', '3371', '1524', '7696', '1434', '4694', '2156', '516', '1777', '1039', '527', '562', '434', '1520', '156', '397', '503', '465', '90']","['-4600', '-4605', '-4610', '-4615', '-4620', '-4625', '-4630', '-4635', '-4640', '-4645', '-4650', '-4655', '-4660', '-4665', '-4680', '-4685', '-4690', '-4695', '-4700', '-4705']"
2024_8_5]13]3]46,139130,139130,"['212', '10', '4740', '82', '2667', '350', '160', '3918', '42940', '3364', '6964', '160', '1520', '214', '220', '1882', '464', '322', '1', '24']","['-7560', '-7570', '-7580', '-7590', '-7600', '-7610', '-7620', '-7630', '-7640', '-7650', '-7660', '-7670', '-7680', '-7690', '-7710', '-7720', '-7740', '-7750', '-7760', '-7770']"
2024_8_5]13]3]46,003690,003690,"['298', '1473', '359', '9921', '21050', '9283', '9861', '9105', '8895', '1762', '6815', '8', '1000', '2710', '10926', '2816', '101', '525', '224', '1']","['-7860', '-7870', '-7880', '-7890', '-7900', '-7910', '-7920', '-7930', '-7940', '-7950', '-7960', '-7970', '-7990', '-8000', '-8010', '-8020', '-8030', '-8040', '-8050', '-8060']"
2024_8_5]13]3]50,028670,028670,"['11043', '579', '3241', '7079', '17282', '13075', '88267', '22840', '15968', '1011', '860', '732', '4688', '1352', '3450', '3214', '12163', '2849', '120', '345']","['-3470', '-3475', '-3480', '-3485', '-3490', '-3495', '-3500', '-3505', '-3510', '-3515', '-3520', '-3525', '-3530', '-3535', '-3540', '-3545', '-3550', '-3555', '-3560', '-3565']"
2024_8_5]13]3]50,047040,047040,"['5604', '1193', '2974', '1544', '4680', '9330', '7856', '10184', '5626', '644', '11161', '1911', '1496', '3149', '69483', '205', '5673', '2', '4597', '4214']","['-3655', '-3660', '-3665', '-3670', '-3675', '-3680', '-3685', '-3690', '-3695', '-3700', '-3710', '-3715', '-3720', '-3725', '-3730', '-3735', '-3740', '-3745', '-3750', '-3755']"
2024_8_5]13]3]50,003620,003620,"['766', '2222', '111', '1029', '2317', '177', '7349', '2446', '1258', '175', '1466', '369', '1906', '365', '1122', '2550', '175', '401', '308', '216']","['-5440', '-5450', '-5460', '-5470', '-5480', '-5490', '-5500', '-5510', '-5520', '-5530', '-5540', '-5550', '-5560', '-5580', '-5590', '-5600', '-5610', '-5620', '-5630', '-5640']"
2024_8_5]13]3]50,003690,003690,"['298', '1473', '359', '9921', '21050', '9283', '9861', '9105', '8895', '1784', '6815', '8', '1000', '2710', '10926', '2816', '101', '525', '224', '1']","['-7860', '-7870', '-7880', '-7890', '-7900', '-7910', '-7920', '-7930', '-7940', '-7950', '-7960', '-7970', '-7990', '-8000', '-8010', '-8020', '-8030', '-8040', '-8050', '-8060']"
2024_8_5]13]3]50,006800,006800,"['1625', '4514', '2335', '658', '2836', '1629', '1192', '885', '1382', '13418', '1500', '4713', '200', '450', '11', '209', '224', '632', '3000', '3216']","['-6710', '-6720', '-6730', '-6740', '-6750', '-6760', '-6770', '-6780', '-6790', '-6800', '-6810', '-6820', '-6830', '-6840', '-6850', '-6860', '-6870', '-6880', '-6890', '-6900']"
2024_8_5]13]3]50,073240,073240,"['13210', '7684', '3371', '1524', '7696', '1434', '4694', '2156', '516', '1777', '1068', '527', '562', '434', '1520', '156', '397', '503', '465', '90']","['-4600', '-4605', '-4610', '-4615', '-4620', '-4625', '-4630', '-4635', '-4640', '-4645', '-4650', '-4655', '-4660', '-4665', '-4680', '-4685', '-4690', '-4695', '-4700', '-4705']"
2024_8_5]13]3]50,073240,073240,"['13210', '7684', '3371', '1524', '7696', '1434', '4694', '2156', '516', '1777', '1068', '527', '562', '434', '1000', '520', '156', '397', '503', '465']","['-4600', '-4605', '-4610', '-4615', '-4620', '-4625', '-4630', '-4635', '-4640', '-4645', '-4650', '-4655', '-4660', '-4665', '-4675', '-4680', '-4685', '-4690', '-4695', '-4700']"
2024_8_5]13]3]50,082640,082640,"['61', '370', '1376', '5544', '87', '6257', '3083', '2287', '9469', '15', '607', '249', '1001', '774', '10', '771', '2030', '2450', '122', '32']","['-7880', '-7890', '-7900', '-7910', '-7920', '-7930', '-7940', '-7950', '-7960', '-7970', '-7980', '-7990', '-8030', '-8050', '-8060', '-8070', '-8080', '-8090', '-8100', '-8110']"
2024_8_5]13]3]50,139130,139130,"['212', '10', '4740', '82', '2667', '350', '160', '3918', '42940', '3287', '9887', '160', '1520', '214', '220', '1882', '464', '322', '1', '24']","['-7560', '-7570', '-7580', '-7590', '-7600', '-7610', '-7620', '-7630', '-7640', '-7650', '-7660', '-7670', '-7680', '-7690', '-7710', '-7720', '-7740', '-7750', '-7760', '-7770']"
