time,code,name,price,qty
11/15 12:12:11,1450,a,29900,
11/15 12:12:11,1450,a,29900,3.0
11/15 12:12:11,248070,a,-26650,3.0
11/15 12:12:11,248070,a,26800,3.0
11/15 12:12:11,1450,a,-29750,3.0
11/15 12:12:12,1450,a,29900,3.0
11/15 12:12:12,248070,a,-26650,3.0
11/15 12:12:12,248070,a,26800,3.0
11/15 12:12:12,1450,a,29900,
11/15 12:12:12,1450,a,29900,0.0
11/15 12:12:12,248070,a,26800,
11/15 12:12:12,1450,a,29900,
11/15 12:12:12,248070,a,-26650,3.0
11/15 12:12:12,248070,a,26800,3.0
11/15 12:12:12,1450,a,-29750,3.0
11/15 12:12:12,1450,a,29900,3.0
11/15 12:12:12,248070,a,26800,
11/15 12:12:12,248070,a,26800,
11/15 12:12:13,248070,a,26800,3.0
11/15 12:12:13,248070,a,26800,6.0
11/15 12:12:13,1450,a,-29750,3.0
11/15 12:12:13,1450,a,29900,3.0
11/15 12:12:13,248070,a,-26650,3.0
11/15 12:12:13,248070,a,26800,3.0
11/15 12:12:13,248070,a,26800,
11/15 12:12:13,248070,a,26800,3.0
11/15 12:12:13,1450,a,29900,
11/15 12:12:13,1450,a,29900,
11/15 12:12:13,1450,a,29900,3.0
11/15 12:12:13,105630,a,-22200,4.0
11/15 12:12:13,105630,a,22400,4.0
11/15 12:12:13,1450,a,29900,
11/15 12:12:13,1450,a,29900,6.0
11/15 12:12:13,1450,a,-29750,3.0
11/15 12:12:13,1450,a,29900,3.0
11/15 12:12:13,1450,a,-29750,3.0
11/15 12:12:13,1450,a,29900,3.0
11/15 12:12:14,1450,a,29900,
11/15 12:12:14,1450,a,29900,
11/15 12:12:14,1450,a,29900,3.0
11/15 12:12:14,1450,a,29900,
11/15 12:12:14,1450,a,29900,0.0
11/15 12:12:14,1450,a,-29750,3.0
11/15 12:12:14,1450,a,29900,3.0
11/15 12:12:14,1450,a,29900,
11/15 12:12:14,1450,a,29900,3.0
11/15 12:12:14,105630,a,-22200,4.0
11/15 12:12:14,105630,a,22400,4.0
11/15 12:12:14,248070,a,-26650,3.0
11/15 12:12:14,248070,a,26800,3.0
11/15 12:12:15,248070,a,-26650,3.0
11/15 12:12:15,248070,a,26800,3.0
11/15 12:12:15,248070,a,26800,
11/15 12:12:15,248070,a,26800,
11/15 12:12:15,248070,a,26800,0.0
11/15 12:12:16,1450,a,-29750,3.0
11/15 12:12:16,1450,a,29900,3.0
11/15 12:12:16,1450,a,29900,
11/15 12:12:16,1450,a,29900,
11/15 12:12:16,1450,a,29900,0.0
11/15 12:12:16,1450,a,-29750,3.0
11/15 12:12:16,1450,a,29900,3.0
11/15 12:15:37,1450,a,-29750,3.0
11/15 12:15:37,1450,a,29900,3.0
11/15 12:15:37,1450,a,29900,
